user_id,session,condition
305,1,NA
305,2,NA
305,3,NA
306,1,NA
306,2,NA
306,3,NA
308,1,NA
308,2,NA
308,3,NA
309,1,NA
309,2,NA
312,1,NA
312,2,NA
312,3,NA
313,1,NA
313,2,NA
313,3,NA
314,1,NA
314,2,NA
314,3,NA
315,1,NA
315,2,NA
315,3,NA
316,1,NA
316,2,NA
316,3,NA
317,1,NA
317,2,NA
317,3,NA
318,1,NA
318,2,NA
318,3,NA
319,1,NA
319,2,NA
319,3,NA
320,1,NA
320,2,NA
320,3,NA
321,1,NA
321,2,NA
321,3,NA
322,1,NA
322,2,NA
322,3,NA
323,1,NA
323,2,NA
323,3,NA
324,1,NA
324,2,NA
324,3,NA
325,1,NA
325,2,NA
325,3,NA
326,1,NA
326,2,NA
326,3,NA
327,1,NA
327,2,NA
327,3,NA
328,1,NA
328,2,NA
328,3,NA
329,1,NA
329,2,NA
329,3,NA
330,1,NA
330,2,NA
330,3,NA
331,1,NA
331,2,NA
331,3,NA
332,1,NA
332,2,NA
332,3,NA
333,1,NA
333,2,NA
333,3,NA
334,1,NA
334,2,NA
334,3,NA
335,1,NA
335,2,NA
335,3,NA
336,1,NA
336,2,NA
336,3,NA
337,1,NA
337,2,NA
337,3,NA
338,1,NA
338,2,NA
338,3,NA
339,1,NA
339,2,NA
339,3,NA
340,1,NA
340,2,NA
340,3,NA
341,1,NA
341,2,NA
341,3,NA
342,1,NA
342,2,NA
342,3,NA
343,1,NA
343,2,NA
343,3,NA
346,1,NA
346,2,NA
346,3,NA
347,1,NA
347,2,NA
347,3,NA
348,1,NA
348,2,NA
348,3,NA
349,1,NA
349,2,NA
349,3,NA
351,2,NA
351,3,NA
351,4,NA
352,1,NA
352,2,NA
352,3,NA
353,2,NA
353,3,NA
353,4,NA
354,1,NA
354,2,NA
354,3,NA
355,1,NA
355,2,NA
355,3,NA
356,1,NA
356,2,NA
356,3,NA
357,1,NA
357,2,NA
357,3,NA
358,1,NA
358,2,NA
358,3,NA
359,1,NA
359,2,NA
359,3,NA
360,1,NA
360,2,NA
360,3,NA
361,1,NA
361,2,NA
361,3,NA
362,1,NA
362,2,NA
362,3,NA
