id,session,session_seq,visit_id,trial,trial_type,button_pressed,HIT,MISS,FA,CR,correct,response_time
305,1,1,305_1_2023-08-02,1,0,0,0,0,0,1,1,2616
305,1,1,305_1_2023-08-02,2,1,0,0,1,0,0,0,1615
305,1,1,305_1_2023-08-02,3,0,0,0,0,0,1,1,3130
305,1,1,305_1_2023-08-02,4,1,0,0,1,0,0,0,2784
305,1,1,305_1_2023-08-02,5,1,0,0,1,0,0,0,2383
305,1,1,305_1_2023-08-02,6,1,1,1,0,0,0,1,2806
305,1,1,305_1_2023-08-02,7,1,1,1,0,0,0,1,1534
305,1,1,305_1_2023-08-02,8,0,0,0,0,0,1,1,1633
305,1,1,305_1_2023-08-02,9,0,0,0,0,0,1,1,1950
305,1,1,305_1_2023-08-02,10,0,0,0,0,0,1,1,3167
305,2,2,305_2_2023-08-02,1,1,1,1,0,0,0,1,1957
305,2,2,305_2_2023-08-02,2,0,0,0,0,0,1,1,2351
305,2,2,305_2_2023-08-02,3,0,0,0,0,0,1,1,1920
305,2,2,305_2_2023-08-02,4,1,1,1,0,0,0,1,1517
305,2,2,305_2_2023-08-02,5,0,0,0,0,0,1,1,2003
305,2,2,305_2_2023-08-02,6,1,0,0,1,0,0,0,3287
305,2,2,305_2_2023-08-02,7,1,0,0,1,0,0,0,2318
305,2,2,305_2_2023-08-02,8,0,0,0,0,0,1,1,1402
305,2,2,305_2_2023-08-02,9,0,0,0,0,0,1,1,1583
305,2,2,305_2_2023-08-02,10,1,1,1,0,0,0,1,1919
305,3,3,305_3_2023-08-02,1,0,0,0,0,0,1,1,1853
305,3,3,305_3_2023-08-02,2,1,0,0,1,0,0,0,2623
305,3,3,305_3_2023-08-02,3,1,1,1,0,0,0,1,2334
305,3,3,305_3_2023-08-02,4,1,0,0,1,0,0,0,1937
305,3,3,305_3_2023-08-02,5,1,0,0,1,0,0,0,1770
305,3,3,305_3_2023-08-02,6,0,0,0,0,0,1,1,1453
305,3,3,305_3_2023-08-02,7,0,0,0,0,0,1,1,2000
305,3,3,305_3_2023-08-02,8,0,0,0,0,0,1,1,2370
305,3,3,305_3_2023-08-02,9,0,0,0,0,0,1,1,3650
305,3,3,305_3_2023-08-02,10,1,1,1,0,0,0,1,1218
306,1,1,306_1_2023-08-08,1,0,0,0,0,0,1,1,2849
306,1,1,306_1_2023-08-08,2,1,0,0,1,0,0,0,2096
306,1,1,306_1_2023-08-08,3,1,0,0,1,0,0,0,2776
306,1,1,306_1_2023-08-08,4,1,1,1,0,0,0,1,1852
306,1,1,306_1_2023-08-08,5,1,0,0,1,0,0,0,1886
306,1,1,306_1_2023-08-08,6,1,0,0,1,0,0,0,1484
306,1,1,306_1_2023-08-08,7,0,0,0,0,0,1,1,1629
306,1,1,306_1_2023-08-08,8,0,0,0,0,0,1,1,2251
306,1,1,306_1_2023-08-08,9,0,0,0,0,0,1,1,1534
306,1,1,306_1_2023-08-08,10,0,0,0,0,0,1,1,1319
306,2,2,306_2_2023-08-08,1,0,0,0,0,0,1,1,1954
306,2,2,306_2_2023-08-08,2,0,0,0,0,0,1,1,1817
306,2,2,306_2_2023-08-08,3,1,1,1,0,0,0,1,1820
306,2,2,306_2_2023-08-08,4,1,0,0,1,0,0,0,2119
306,2,2,306_2_2023-08-08,5,0,0,0,0,0,1,1,1468
306,2,2,306_2_2023-08-08,6,0,0,0,0,0,1,1,1621
306,2,2,306_2_2023-08-08,7,0,0,0,0,0,1,1,1651
306,2,2,306_2_2023-08-08,8,1,0,0,1,0,0,0,1570
306,2,2,306_2_2023-08-08,9,1,0,0,1,0,0,0,1398
306,2,2,306_2_2023-08-08,10,1,0,0,1,0,0,0,1268
306,3,3,306_3_2023-08-08,1,0,0,0,0,0,1,1,4588
306,3,3,306_3_2023-08-08,2,1,1,1,0,0,0,1,2164
306,3,3,306_3_2023-08-08,3,0,0,0,0,0,1,1,1782
306,3,3,306_3_2023-08-08,4,1,1,1,0,0,0,1,2068
306,3,3,306_3_2023-08-08,5,0,0,0,0,0,1,1,1800
306,3,3,306_3_2023-08-08,6,1,1,1,0,0,0,1,1770
306,3,3,306_3_2023-08-08,7,1,1,1,0,0,0,1,1920
306,3,3,306_3_2023-08-08,8,0,0,0,0,0,1,1,1770
306,3,3,306_3_2023-08-08,9,1,1,1,0,0,0,1,1317
306,3,3,306_3_2023-08-08,10,0,0,0,0,0,1,1,2470
308,1,1,308_1_2023-08-18,1,0,0,0,0,0,1,1,2272
308,1,1,308_1_2023-08-18,2,0,0,0,0,0,1,1,2005
308,1,1,308_1_2023-08-18,3,1,0,0,1,0,0,0,1984
308,1,1,308_1_2023-08-18,4,0,0,0,0,0,1,1,2091
308,1,1,308_1_2023-08-18,5,1,1,1,0,0,0,1,4335
308,1,1,308_1_2023-08-18,6,0,0,0,0,0,1,1,1843
308,1,1,308_1_2023-08-18,7,0,0,0,0,0,1,1,1526
308,1,1,308_1_2023-08-18,8,1,1,1,0,0,0,1,2127
308,1,1,308_1_2023-08-18,9,1,1,1,0,0,0,1,2676
308,1,1,308_1_2023-08-18,10,1,1,1,0,0,0,1,2011
308,2,2,308_2_2023-08-18,1,1,1,1,0,0,0,1,2450
308,2,2,308_2_2023-08-18,2,1,1,1,0,0,0,1,2008
308,2,2,308_2_2023-08-18,3,0,0,0,0,0,1,1,2177
308,2,2,308_2_2023-08-18,4,0,0,0,0,0,1,1,1822
308,2,2,308_2_2023-08-18,5,1,1,1,0,0,0,1,2951
308,2,2,308_2_2023-08-18,6,1,0,0,1,0,0,0,1789
308,2,2,308_2_2023-08-18,7,0,0,0,0,0,1,1,1676
308,2,2,308_2_2023-08-18,8,0,0,0,0,0,1,1,2056
308,2,2,308_2_2023-08-18,9,1,1,1,0,0,0,1,2076
308,2,2,308_2_2023-08-18,10,0,1,0,0,1,0,0,4636
308,3,3,308_3_2023-08-18,1,0,0,0,0,0,1,1,2072
308,3,3,308_3_2023-08-18,2,1,1,1,0,0,0,1,1823
308,3,3,308_3_2023-08-18,3,0,1,0,0,1,0,0,3338
308,3,3,308_3_2023-08-18,4,1,1,1,0,0,0,1,2204
308,3,3,308_3_2023-08-18,5,0,0,0,0,0,1,1,1598
308,3,3,308_3_2023-08-18,6,1,1,1,0,0,0,1,2393
308,3,3,308_3_2023-08-18,7,1,1,1,0,0,0,1,1591
308,3,3,308_3_2023-08-18,8,0,0,0,0,0,1,1,2610
308,3,3,308_3_2023-08-18,9,1,1,1,0,0,0,1,3315
308,3,3,308_3_2023-08-18,10,0,0,0,0,0,1,1,2411
309,1,1,309_1_2023-09-12,1,0,0,0,0,0,1,1,4239
309,1,1,309_1_2023-09-12,2,0,0,0,0,0,1,1,2747
309,1,1,309_1_2023-09-12,3,1,1,1,0,0,0,1,1328
309,1,1,309_1_2023-09-12,4,1,1,1,0,0,0,1,1462
309,1,1,309_1_2023-09-12,5,1,1,1,0,0,0,1,1451
309,1,1,309_1_2023-09-12,6,0,0,0,0,0,1,1,2458
309,1,1,309_1_2023-09-12,7,1,1,1,0,0,0,1,1898
309,1,1,309_1_2023-09-12,8,1,1,1,0,0,0,1,1823
309,1,1,309_1_2023-09-12,9,0,0,0,0,0,1,1,1784
309,1,1,309_1_2023-09-12,10,0,0,0,0,0,1,1,2028
309,2,2,309_2_2023-09-12,1,0,0,0,0,0,1,1,2865
309,2,2,309_2_2023-09-12,2,0,0,0,0,0,1,1,2217
309,2,2,309_2_2023-09-12,3,1,0,0,1,0,0,0,1828
309,2,2,309_2_2023-09-12,4,0,0,0,0,0,1,1,2015
309,2,2,309_2_2023-09-12,5,0,0,0,0,0,1,1,2082
309,2,2,309_2_2023-09-12,6,0,0,0,0,0,1,1,2045
309,2,2,309_2_2023-09-12,7,1,1,1,0,0,0,1,1797
309,2,2,309_2_2023-09-12,8,1,0,0,1,0,0,0,1834
309,2,2,309_2_2023-09-12,9,1,0,0,1,0,0,0,2299
309,2,2,309_2_2023-09-12,10,1,0,0,1,0,0,0,2199
312,1,1,312_1_2023-09-12,1,1,0,0,1,0,0,0,2886
312,1,1,312_1_2023-09-12,2,0,0,0,0,0,1,1,2569
312,1,1,312_1_2023-09-12,3,0,0,0,0,0,1,1,2332
312,1,1,312_1_2023-09-12,4,1,1,1,0,0,0,1,1780
312,1,1,312_1_2023-09-12,5,0,0,0,0,0,1,1,2051
312,1,1,312_1_2023-09-12,6,1,0,0,1,0,0,0,2629
312,1,1,312_1_2023-09-12,7,0,0,0,0,0,1,1,1646
312,1,1,312_1_2023-09-12,8,1,0,0,1,0,0,0,1495
312,1,1,312_1_2023-09-12,9,0,1,0,0,1,0,0,3709
312,1,1,312_1_2023-09-12,10,1,0,0,1,0,0,0,1643
312,2,2,312_2_2023-09-12,1,0,0,0,0,0,1,1,1562
312,2,2,312_2_2023-09-12,2,1,1,1,0,0,0,1,1692
312,2,2,312_2_2023-09-12,3,1,0,0,1,0,0,0,1801
312,2,2,312_2_2023-09-12,4,1,1,1,0,0,0,1,1531
312,2,2,312_2_2023-09-12,5,1,1,1,0,0,0,1,3861
312,2,2,312_2_2023-09-12,6,0,0,0,0,0,1,1,1933
312,2,2,312_2_2023-09-12,7,0,0,0,0,0,1,1,1518
312,2,2,312_2_2023-09-12,8,0,0,0,0,0,1,1,2334
312,2,2,312_2_2023-09-12,9,1,0,0,1,0,0,0,2460
312,2,2,312_2_2023-09-12,10,0,0,0,0,0,1,1,1883
312,3,3,312_3_2023-09-12,1,0,0,0,0,0,1,1,2434
312,3,3,312_3_2023-09-12,2,0,0,0,0,0,1,1,2358
312,3,3,312_3_2023-09-12,3,0,0,0,0,0,1,1,2455
312,3,3,312_3_2023-09-12,4,1,0,0,1,0,0,0,3349
312,3,3,312_3_2023-09-12,5,0,0,0,0,0,1,1,2451
312,3,3,312_3_2023-09-12,6,1,1,1,0,0,0,1,1610
312,3,3,312_3_2023-09-12,7,1,1,1,0,0,0,1,1401
312,3,3,312_3_2023-09-12,8,0,0,0,0,0,1,1,2253
312,3,3,312_3_2023-09-12,9,1,1,1,0,0,0,1,1866
312,3,3,312_3_2023-09-12,10,1,1,1,0,0,0,1,2142
313,1,1,313_1_2023-11-14,1,1,0,0,1,0,0,0,1949
313,1,1,313_1_2023-11-14,2,0,0,0,0,0,1,1,1734
313,1,1,313_1_2023-11-14,3,1,1,1,0,0,0,1,1765
313,1,1,313_1_2023-11-14,4,0,0,0,0,0,1,1,2183
313,1,1,313_1_2023-11-14,5,0,0,0,0,0,1,1,2385
313,1,1,313_1_2023-11-14,6,1,0,0,1,0,0,0,1717
313,1,1,313_1_2023-11-14,7,0,0,0,0,0,1,1,1585
